"Name","Year","Directors","Producers","Actors"
"Dreamgirls","2006","Bill Condon","Laurence Mark","Anika Noni Rose, Jamie Foxx, Beyoncé Knowles, Eddie Murphy, Jennifer Hudson, Danny Glover, Keith Robinson, Sharon Leal, Ken Page, Mariah I. Wilson, Ralph Harris, Hinton Battle, Michael-Leon Wooley, Yvette Cason, John Krasinski, Loretta Devine, John Lithgow, Alexander Folk, Esther Scott, Bobby Slayton, Jordan Wright, Dawnn Lewis, Jaleel White, Sybyl Walker, Leslie Nicole Lewis, Eboni Nichols, Arike Rice, Fatima Robinson, Aakomon Jones, Bernard Fowler, Flii Stylz, Tyrell Washington, Rory O'Malley, Laura Bell Bundy, Ivar Brogger, Daren A. Herbert, Jocko Sims, Pam Trotter, Cleo King, Eddie Mekka, Alex Furth, Dilva Henry, Vince Grant, Robert Cicchini, Thomas Crawford, Charles Jones, Robert Curtis Brown, Stephanie Owens, Gilbert Glenn Brown, Marty Ryan, Michael Villani, Gregg Berger, Daniel Riordan, David James, Paul Kirby, Derick Alexander, Yvette Nicole Brown, Nancy Anderson, Joelle Cosentino, Lisa Eaton, Clare Kutsko, Tracy Phillips, Kelly Sheerin, Mykel Brooks, Johnny Erasme, Cory Graves, J.R. Taylor, Corinthea Henderson, Craig Hollamon, Reginald Jackson, Jesus Maldonado, Anthony Rue II, John Silver, Larry Sims, Black Thomas, Kevin Wilson, Adrian Wiltshire, Earl Wright, Russell Wright, Dominic Chaiduang, Jose Cueva, Omhmar Griffin, Sky Hoffmann, Trevor Lopez-Daggett, Leo Moctezuma, Gabriel Paige, Terrance Spencer, Tony Testa, Quinton Weathers, Jull Weber, Marcel Wilson, Stevie Ray Anthony, Matthew Dickens, Jerohn Garnett, Mario Mosley, Jimmy R.O. Smith, Anne Warren, Jimmy Pardo, Alvin Ellie, Damion Poitier"
"Flight 93","2006","Peter Markle","Clara George","Brennan Elliott, Gwynyth Walsh, Jerry Wasserman, Ty Olsson, Kirsten Williamson, Laura Mennell, Jeffrey Nordling, Karen Holness, April Telek, Kendall Cross, Monnae Michaell, Adam Harrington"
"The Invisible","2007","David S. Goyer","Neal Edelstein, Gary Barber, Roger Birnbaum, Jonathan Glickman, Mike Macari","Justin Chatwin, Marcia Gay Harden, Callum Keith Rennie, Michelle Harrison, Margarita Levieva, Chris Marquette, Alex O'Loughlin, Tania Saulnier, Cory Monteith, Serge Houde, Alex Ferris, Maggie Ma, Ron Selmour, Ryan Kennedy, Andrew Francis, P. Lynn Johnson, Desiree Zurowski, Mark Houghton, Kevin McNulty, Laara Sadiq, Aleks Holtz, Sefton Fincham, Colby Wilson, Mi-Jung Lee, Jason Diablo, Leanne Adachi, Chris Shields, Panou, Michael Tayles, Christopher Heyerdahl, Andrew Coghlan, Jack Donner, Don Thompson"
"Lonely Hearts","2007","Todd Robinson","Boaz Davidson","Salma Hayek, James Gandolfini, Jared Leto, John Travolta, Scott Caan, Laura Dern, Bailee Madison, Alice Krige, Dagmara Domińczyk, Jason Gray-Stanford, Dan Byrd, Christa Campbell, Michael Gaston, Bruce MacVittie, Michael Rispoli"
"Stomp the Yard","2007","Sylvain White","Will Packer, Porter Versfelt III","Darrin Henson, Ne-Yo, Chris Brown, Columbus Short, Brian J. White, Meagan Good, Jermaine Williams, Laz Alonso, Harry Lennix, Valarie Pettiford, Oliver Ryan Best, Allan Louis, Richmond Duain Martyn, Justin Hires, Sahr Ngaujah, Roderick Thomas, April Clark, Harry Shum Jr., Lil' C, Pedro Coiscou, Sean Riggs, Black Thomas, Debra Nelson, Tony Vaughn, DJ Drama, Roxzane T. Mims, Ayesha Ngaujah, Maya Estephanos, Khalid Freeman, Khalid Freeman, Gordie Bernard Holt, Christine Horn, Alvester Martin, Ryan Michael, Jonathan 'Legacy' Perez, Gilbert Saldivar, Jimmy R.O. Smith, Sway, Ivan 'Flipz' Velez, Ceasare Willis, D. Woods, Tony Aaron II, Haji Abdullah, Cesar Aguirre, Rodney Banks, Ricky Brown, Jon 'Do Knock' Cruz, Leslie Drake, Roslyn D. Evans, Michael Franklin, Hajji Golightly, Jane Graves, Shelby D. Henderson, Michelle Shelton Huff, Daisy Jade, Kanya Maree, Cory Shaun McGinnis, Lynette McKinney, Kelly Natividade, Brandon Phillips, Bertrand Roberson Jr., Amanda Rosario, Rita Sands, Stephanie Leigh Schlund, Tiffany Sims, Anthony Singleton"
"Keith","2008","Todd A. Kessler, Todd Kessler","","Elisabeth Harnois, Margo Harshman, Jesse McCartney, Jessy Schram, Jennifer Grey, Michael Bryan French, Jan Devereaux, Dennis Cockrum, Jesse Heiman, Ignacio Serricchio, Victoria Chalaya, James Applebury, Tabitha Brownstone, Tim Halligan, Michael McGrady, Michael O'Keefe, Ethan Phillips, Eric Parker, Micah Henson, Ian Nelson, Sam Murphy, Sarah Zinsser, Ron Carlson, Megan Hubbell, Courtney Halverson, Janice Kent, Zack Rockefeller, Rachel Thorp, Gareth Williams, Lee Turner, Jordan Lindsay Hamm, Rance Howard"
"The Dark Knight","2008","Christopher Nolan","Emma Thomas, Christopher Nolan, Charles Roven, Lorne Orleans","Michael Caine, Gary Oldman, Aaron Eckhart, Christian Bale, Maggie Gyllenhaal, Michael Jai White, Morgan Freeman, Ron Dean, Cillian Murphy, Monique Gabriela Curnen, Eric Roberts, Nestor Carbonell, Chin Han, Ritchie Coster, Anthony Michael Hall, Melinda McGraw, Keith Szarabajka, Nathan Gamble, Colin McFarlane, Joshua Harto, William Fichtner, Edison Chen, Gene Fojtik, Patrick Leahy, Nicky Katt, Heath Ledger, Adam Kalesperis, Aidan Feore, Alexander Hathaway, Amit Shah, Andrew Bicknell, Andy Luther, Ariyon Bakare, Beatrice Rosen, Bill Ibrahim, Blayne Bennett, Bob Kaliebe, Brandon Lambdin, Bronson Webb, Bruce Allen Dawson, Bruce Spielbauer, Buster Reeves, Charles Query, Chucky Venn, Charlie Kierscht, Chris D. Thomas, Chris Petschler, Chris Wilson, Chuen Tsou, Craig Heaney, Dale Rivera, Dan Gossen, Dan Latham, Daniel Jefferson, Danielle Day, Danny Goldring, Darren Elliot Fulsher, Daryl Satcher, David Ajala, David Dastmalchian, David Fultz, David Lesley, David William James Elliott, Debbi Burns, Deborah Lynn, Don Kress, Doug Ballard, Dwight Sora, Elisa Schleef, Erik A. Williams, Erik Hellman, Ernest Pierce, Erron Jay, Essa Zahir, Gary Ryder, Gertrude Mosley, Grahame Edwards, Greg Beam, Greg Schweiner, Hannah Gunn, Helene Wilson, Henry Milton Chu, Ian Pirie, Ivan Lovegren, J.R. Martino, James Farruggio, James Fierro, James Mellor, James Scales, Jan Seybold, January Stern, Jason Frederick, Jeff Albertson, Jennifer Knox, Jessica Cooper, Joe Nelson, John Hoving, John Snowden, John Thurner, John Turk"
"Sunshine Cleaning","2008","Christine Jeffs","Glenn Williamson, Peter Saraf, Jeb Brody, Marc Turtletaub","Emily Blunt, Steve Zahn, Alan Arkin, Amy Adams, Mary Lynn Rajskub, Clifton Collins Jr., Jason Spevack, Eric Christian Olsen, Paul Dooley, Kevin Chapman, Judith Jones, Amy Redford, Susie Yip, Maddie Corman, Ivan Brutsche, Christopher Dempsey, Vic Browder, Arron Shiver, Ralph Jason Aukison, Cliff Garstka Sr., Charles Domenici, Mike Miller, Sarah Hudnut, Anya Alyassin, Pab Schwendimann, William Sterchi, Amber Midthunder, Angelique Midthunder, Olive Gallagher, Lois Geary, Frank E. Cruz, Esodie Geiger, Kevin Wiggins, Epifanio Hernández, McKenna Hutton, Mason Frank, Marya Beauvais, Rebekah Wiggins, Kristin Reese, Veronica Hernandez, Jourdan Reese, Josh Berry, Jason Henning, Kathy Lamkin, Davin Ruggles, Marya Beauvais"
"2012","2009","Roland Emmerich","Larry J. Franco, Harald Kloser, Mark Gordon, Ryan Kavanaugh, Brian Grazer, Roger Birnbaum","John Cusack, Danny Glover, Thandie Newton, Oliver Platt, Amanda Peet, Chiwetel Ejiofor, Woody Harrelson, Thomas McCarthy, George Segal, Morgan Lily, Beatrice Rosen, Liam James, Zlatko Buric, Johann Urb, Patrick Bauchau, John Billingsley, Jimi Mistry, Stephen McHattie, Chin Han, Philippe Haussmann, Alexandre Haussmann, Ric Govea, Osric Chau, Chang Tseng, Lisa Lu, Blu Mankuma, Ryan McDonald, Merrilyn Gann, Henry O, Patrick Gilmore, Dean Marshall, Ron Selmour, Viv Leacock, Chris Boyd, Donna Yamamoto, Doron Bell, David Orth, Lyndall Grant, Jason Diablo, Ty Olsson, Zinaid Memisevic, Vincent Cheng, Igor Morozov, BJ Harrison, Dominic Zamprogna, Karin Konoval, Mary Gillis, Rick Tae, Parm Soor, Gerard Plunkett, Paul Tryl, Andrei Kovski, Val Cole, Eve Harlow, Sean Tyson, Leonard Tenisci, Michael Buffer, Daren A. Herbert, Craig Stanghetta, Mateen Devji, Qayam Devji, Jody Thompson, Tanya Champoux, Kinua McWatt, Laara Sadiq, Gillian Barber, Candus Churchill, Beverley Elliott, Agam Darshi, Raj Lai, Pesi Daruwalla, Jacob Blair, Scott E. Miller, Anna Mae Routledge, John Stewart, Ryan Cook, Brandon Haas, Eddie Hassell, Betty Phillips, Georgina Hegedos, Luis Javier, Dean Redman, Gordon Lai, Mark Docherty, Mark Oliver, Andrew Moxham, Alexandra Castillo, Farouk A. Afify, Shaun Wilson, Leo Li Chiang, Elizabeth Richard, Kyle Riefsnyder, John Mee, George Trochta, Geoff Gustafson, Alex Zahara, Jason Griffith, Jill Morrison, Thomas Parkinson, Leona Naidoo"
"Up in the Air","2009","Jason Reitman","Ivan Reitman, Jeffrey Clifford, Daniel Dubiecki, Jason Reitman","George Clooney, Jason Bateman, Vera Farmiga, Anna Kendrick, Chris Lowell, Melanie Lynskey, Adam Rose, Steve Eastin, Andrew Kruczynski, Danny McBride, Tamala Jones, Zach Galifianakis, J.K. Simmons, Amy Morton, Sam Elliott, Young MC, Cut Chemist, Adrienne Lamping, Meagan Flynn, Dustin Miles, Tamara Tungate, Laura Ackermann, Meghan Maguire, Courtney Kling, Matt O'Toole, Erin McGrane, Cari Mohr, Jerry Vogel, Adhir Kalyan, Jeff Witzke, Dave Engfer, Paul Goetz, Michele Lee, Jennifer Flaks, Bill Yancey, John Mebruer, Ellen Gutierrez, Kevin Pila, Kelly Bertha, Cozy Bailey, Lamorris Conner, Deborah L. Norman, Casey Bartels, Billy Phelan, Arthur Hill, Patricia Allison, David F. Rybicki, Andy Glantzman, K. Darnell Lewis, Jo Michelle Favaro, Thomas M. Martilotti, Erin Welsh-Krengel, Marlene Gorkiewicz, Mark Sommers, Wilbur Weidlich, Grace Smith, Scott Lapinski, George Batten, Sope Aluko, Kojo Asiedu, Courtney Benjamin, Nicole Blaszczyk, Kourtney Brown, Ed Callison, Brian Carney, Vanessa Elgrichi, Lanette Fugit, Laurel Levey-Giacomino, Joe Hammerstone, Ernesto Hernandez, Nic Roewert, Gus Stevenson, Paul Strathman, Alan David, Walter Kirn, Stephanie Janiunas, Michael Bentele, Wayne E. Brown, Alissa Collins, Kevin Crawford, Sara Crowell, Jeremy Curran, Rodney Davis, Karla Dieseldorff, Dona Ellis, Didier Elysee, Chad A. Fehr, Doug Fesler, Bobby J. Gatus, Angela Golden Bryan, HeMan, Carri Jarvis, Ashley Leilani, Keri Maletto, Libby McDermott, Anastasia Maria Mili, Jørgen Pedersen, Greg Reynolds, Kyle Rich, Mallory Scott"
"Leaving Normal","1992","Edward Zwick","Sydney Pollack, Lindsay Doran","Brett Cullen, Maury Chaykin, Lenny Von Dohlen, James Gammon, Christine Lahti, Meg Tilly, Eve Gordon, James Eckhouse, Lachlan Murdoch, Robyn Simons, Patrika Darbo"
"Zebrahead","1992","Anthony Drazan","Jeff Dowd, William F. Willett, Charles Mitchell, Oliver Stone","N'Bushe Wright, Kevin Corrigan, Michael Rapaport, Ray Sharkey, Deshonn Castle, Lois Bendler, Dan Ziskie, Marsha Florence, Shula Van Buren, Ron Johnson, Jon Seda"
"Monster in a Box","1992","Nick Broomfield","Jon Blair, Renee Shafransky","Spalding Gray"
"The Joneses","2009","Derrick Borte","Doug Mankoff, Andrew Spaulding, Kristi Zea, Derrick Borte","David Duchovny, Demi Moore, Amber Heard, Gary Cole, Lauren Hutton, Ben Hollingsworth, Glenne Headly, Catherine Dyer, Christine Evangelista, Chris Williams, Robert Pralgo, Ashley LeConte Campbell, Kim Wall, Ric Reitz, Tiffany Morgan, Andrew DiPalma, Hayes Mercure, Joe Narciso"
"Art for Teachers of Children","1995","Jennifer Montgomery","Jennifer Montgomery","Lisa Anomaiprasert, Coles Burroughs, Duncan Hannah, Bryan Keane, Caitlin Grace McDonnell, Jennifer Montgomery, Ruth S. Montgomery, Jennifer Williams"
"The Doom Generation","1995","Gregg Araki","Gregg Araki, Andrea Sperling","James Duval, Rose McGowan, Johnathon Schaech, Margaret Cho, Amanda Bearse, Cress Williams, Dustin Nguyen, Lauren Tewes, Christopher Knight, Nicky Katt, Parker Posey, Perry Farrell, Heidi Fleiss, Johanna Went, Salvator Xuereb, Don Galloway, Bullet, Dewey Weber, Zak Spears, Rex Chandler"
"Living in Oblivion","1995","Tom DiCillo","Michael Griffiths, Marcus Viscidi","Steve Buscemi, Catherine Keener, Dermot Mulroney, James LeGros, Peter Dinklage, Kevin Corrigan, Danielle von Zerneck, Rica Martens, Hilary Gilford, Robert Wightman, Tom Jarmusch, Tom Jarmusch, Michael Griffiths, Matthew Grace, Ryan Bowker, Ryan Bowker, Francesca DiMauro, Norman Fields, Lori Tan Chinn, Vincenzo Amelia, Laurel Thornby"
"Mute Witness","1995","Anthony Waller","Alexander Buchman, Norbert Soentgen, Anthony Waller","Fay Ripley, Marina Zudina, Evan Richards, Oleg Yankovsky, Igor Volkov, Sergei Karlenkov, Alec Guinness, Aleksandr Pyatkov, Nikolai Pastukhov, Aleksandr Bureyev, Stephen Bouser"
"Nadja","1994","Michael Almereyda","Mary Sweeney, David Lynch, Amy Hobby","Karl Geary, Peter Fonda, Martin Donovan, Elina Löwensohn, Nic Ratner, Jack Lotz, Galaxy Craze, David Lynch, Isabel Gillies, José Zúñiga, Suzy Amis, Jared Harris, Peter Fonda"
"The Brothers McMullen","1995","Edward Burns","Edward Burns, Dick Fisher","Edward Burns, Mike McGlone, Connie Britton, Maxine Bahns, Shari Albert, Catharine Bolz, Peter Johansen, Jennifer Jostyn, Elizabeth McKay, Jack Mulcahy"
"Trevor","1994","Peggy Rajski","","Ellen DeGeneres, Brett Barsky, Jonah Rooney, Randy Stone"
"Viva Castro!","1993","Boris Frumin","Yevgeny Volkov, Helena Besfamilny","Sergei Dontsov, Anatoli Slivnikov, Valentin Ushakov, Pavel Zharkov, Yuliya Sobolevskaya, Natalya Kononova, Aleksandr Bajkov, Olga Bykova, Yuri Oskin, Anastasiya Vezheva"
"Lonesome","1928","Paul Fejos","Carl Laemmle Jr., Oskar Schubert-Stevens, Carl Laemmle","Glenn Tryon, Barbara Kent, Fay Holderness, Gusztáv Pártos, Eddie Phillips, Andy Devine, Edgar Dearing, Louise Emmons, Fred Esmelton, Jack Raymond, Churchill Ross"
"Straight Out of Brooklyn","1991","Matty Rich","Matty Rich","Lawrence Gilliard Jr., George T. Odom, Matty Rich, Ann D. Sanders, Barbara Sanon, Reana E. Drummond, Mark Malone, Ali A. Wahhab, Joseph A. Thomas, James McFadden"
"Slacker","1991","Richard Linklater","Richard Linklater","Richard Linklater, Brecht Andersch, Rudy Basquez, Mark James, Bob Boyd, Terrence Kirk, Abra Moore, Athina Rachel Tsangari, John Slate, Kim Krizan, Lee Daniel, Louis Black, Louis Mackey, Ron Marks, Scott Rhodes, Stella Weir, Teresa Taylor, Zara Barron, Wammo, Susannah Simone, Tamsy Ringler, Stewart Bennet, Steven Anderson, Sarah Harmon, Stephen Jacobson, Scott Marcus, Robert Pierson, Robert Jacks, Skip Fulton Jr., Scott Van Horn, Sean Coffey, Sharon Roos, Siqgouri Wilkovich, Shelly Kristaponis, Regina Garza, R. Malice, Phillip Hostak, Nolan Morrison, Nigel Benchoff, Patrice Sullivan, Nick Maffei, Mimi Vitetta, Kyle Rosenblad, Lori Capp, Luke Savisky, Marianne Hyatt, Lucinda Scott, Mark Quirk, Michael Laird, Mark Harris, Mike Enright, Meg Brennan, Kevin Thomson, Kelly Linn, Kevin Whitley, Joseph Jones, Kendall Smith, Kathy McCarty, John Spath, Kal Spelletich, Dan Kratochvil, Aleister Barron, Annick Souhami, Albans Benchoff, Jean Caffeine, Jan Hockey, Stephan Hockey, Samuel Dietert, Keith McCormack, Tommy Pallotta, Dan Kratochvil, Jennifer Schaudies, Maris Strautmanis, Brian Crockett, Bruce Hughes, Charlotte Norris, Charles Gunning, Daniel Dugan, D. Angus MacDonald, Denise Montgomery, Clark Walker, Gus Vayas, Greg Wilson, Gina Lalli, Greg Ward, Gary Price, Frank Orrall, Eric Lord, Eric Buehlman, Jennifer Carroll, Jerry Delony, Janelle Coolich, Jack Meredith, Heather West, Deborah Pastor, David Haymond, John Hawkins, Don Stroud"
"The Reflecting Skin","1990","Philip Ridley","Dominic Anciano, Ray Burdis","Viggo Mortensen, Lindsay Duncan, Jeremy Cooper, Sheila Moore, Duncan Fraser, David Longworth, Robert Koons, David Bloom, Evan Hall, Codie Lucas Wilbee"
"Trust","1990","Hal Hartley","Hal Hartley, Bruce Weiss","Adrienne Shelly, Martin Donovan, Merritt Nelson, Edie Falco, John MacKay, Gary Sauer, Matt Malloy, Suzanne Costollos, Jeff Howard, Karen Sillas, Tom Thon"
"Prizzi's Honor","1985","John Huston","John Foreman","Jack Nicholson, Kathleen Turner, Robert Loggia, Anjelica Huston, C. C. H. Pounder, William Hickey, Lawrence Tierney, John Randolph, Lee Richardson, Michael Lombard, George Santopietro, Stanley Tucci, Vic Polizos"
"The Devil’s Cleavage","1973","George Kuchar","George Kuchar","Ainslie Pryor, Virginia Giritlian, Kathleen Hohalek, Michelle Gross, Mark Ellinger, Ilka Normile, Ann Knutson, Janey Sneed, Al Wong"
"Spartacus","1960","Stanley Kubrick","Edward Lewis","Kirk Douglas, Jean Simmons, Laurence Olivier, Peter Ustinov, John Gavin, Tony Curtis, Nina Foch, Charles McGraw, Woody Strode, John Ireland, Herbert Lom, John Dall, Charles Laughton, Harold J. Stone, Joanna Barnes, Peter Brocco, Paul Lambert, Robert J. Wilke, Nick Dennis, John Hoyt, Frederick Worlock, Philip Altman, Dave Armstrong, John Barton, Arthur Batanides, Paul Baxley, John Benson, Shari Lee Bernath, Norman Bishop, Bill Blackburn, David Bond, Buff Brady, Don Bramblett, Courtney Brown, Jerry Brown, Rudy Bukich, Bob Burns, Paul E. Burns, Polly Burson, Wayne Burson, Joe Canutt, Tap Canutt, Al Carmichael, Bill Catching, Chuck Courtney, Dick Crockett, John Daheim, Carol Daniels, Tony Dante, Tony Dante, Doris Darling, Ted de Corsia, Terence De Marney, Frank Donahue, Mary Donovan, Craig Duncan, Johnny Duncan, Louie Elias, Maurice Elias, Roy Engel, Richard Farnsworth, Richard Farnsworth, Richard Farnsworth, Logan Field, Lila Finn, Charlotte Fletcher, Robert Fuller, Jeanne Gerson, Seamon Glass, Joe Gold, Harold Goodwin, Saul Gorss, Marvin Goux, James Griffith, Jack Grinnage, Donna Hall, Don Happy, Edith Happy, Betty Harford, Brad Harris, Harry Harvey Jr., Joe Haworth, Chuck Hayward, Vinton Hayworth, Wayne Heffley, Manuel Herreros, Bob Herron, Hallene Hill, Charles Horvath, Basil Howes, Robert Hoy, Loren Janes, Loren Janes, Loren Janes, Jil Jarmyn, Anthony Jochim, Duke Johnson, Harry C. Johnson, Paul Keast, Valley Keene"
"Theory of Achievement","1991","Hal Hartley","Ted Hope, Larry Meistrich","Bob Gosse, Jessica Sager, Jeffrey Howard, Elina Löwensohn, Bill Sage"
"Before Night Falls","2000","Julian Schnabel","Jon Kilik","Javier Bardem, Andrea Di Stefano, Patricia Reyes Spíndola, Manolo García, Vito Schnabel, Santiago Magill, Héctor Babenco, Pedro Armendáriz Jr., Sean Penn, Sebastián Silva, Giovanni Florido, Michael Wincott, Diego Luna, Olatz López Garmendia, Lia Chapman, Loló Navarro, Olivier Martinez, Jerzy Skolimowski, Carmen Beato, Cy Schnabel, Olmo Schnabel, Aquiles Benites, Ewa Piaskowska, Marlene Díaz, Olga Borayo, Lola Schnabel, Ofelia Medina, Lois Barragán, Edward Antonino, Stella Schnabel, Manuel González, Maurice Compte, Claudette Maillé, John Ortiz, Vincent Laresca, Rene Rivera, Chanel Puertas, Manolo Rivero, Nemo, Andrea Fassler, Magda, Julian Bucio, Jorge Zárate, Najwa Nimri, Francisco Gattorno, Marisol Padilla Sánchez, Jorge Zamora, Noel Medina, Gerardo Zepeda, Yulian Díaz, Eduardo Arroyuelo, Antonio Zavala, Eloy Ganuza, Khotan Fernández, René Pereyra, Abel Woolrich, Mario Oliver, Robertico Valdez, Johnny Depp, Johnny Depp, Claudio Osoria, Alfredo Villa, Diahnne Abbott, Caridad Martinez, Zulema Cruz, Annie Gil, Filiberto Estrella, Juan Cristóbal Murillo, Melanio Filiberto Hebra, Matthias Ehrenberg, Jack Schnabel, Esther G. Schnabel, Xavier Domingo, Eric Springer, Jimmy Nugent, Benjamín Benítez, Fidel Castro"
"Stuart Bliss","1998","Neil Grieve","","Derek McGrath, Michael Zelniker, Hoke Howell, Ania Suli"
"Fast Five","2011","Justin Lin","Vin Diesel, Neal H. Moritz, Michael Fottrell","Vin Diesel, Paul Walker, Tego Calderón, Tyrese Gibson, Sung Kang, Elsa Pataky, Matt Schulze, Ludacris, Joaquim de Almeida, Gal Gadot, Jordana Brewster, Don Omar, Alimi Ballard, Geoff Meed, Michael Irby, Dwayne Johnson, Fernando Chien, Yorgo Constantine, Joseph Melendez, Jeirmarie Osorio, Mark Hicks, Esteban Cueto, Corey Michael Eubanks, Luis Da Silva Jr., Luis Gonzaga, Carlos Sanchez, Benjamin Blankenship, Pedro García, Arturo Gaskins, Jay Jackson, Arlene Santana, Kent Shocknek, Sharon Tay, Andy Rosa Adler, Johnny Michaels, Michelle Rodriguez, Eva Mendes, Zach Sale, Alex Schoenauer, Brian Tester, Amanda Salinas, Natalie Gal, Tommy Dallace, Lincoln de Oliveira, Orlando Vargas Diaz, Benjamin Easterday, Benjamin Easterday, Antonio Echeverria, Randi Lamey, Jerry Lantigua, Jason Mignot, Mariselle Morales, William Palmer Jr., William Palmer Jr., L. Stephanie Ray, Ralph Ruiz, Gregory Marshall Smith, Gregory Marshall Smith, Gregory Marshall Smith, Melody Smith, Richard Tavernaro, Kevin W. Clark"
